"Date","Price","Open","High","Low","Vol.","Change %"
"05/27/2025","135.43","134.10","135.65","133.37","109.50M","3.16%"
"05/23/2025","131.29","130.00","132.68","129.16","198.82M","-1.16%"
"05/22/2025","132.83","132.23","134.25","131.55","187.34M","0.78%"
"05/21/2025","131.80","133.06","137.40","130.59","270.61M","-1.92%"
"05/20/2025","134.38","134.29","134.58","132.62","161.51M","-0.88%"
"05/19/2025","135.57","132.39","135.87","132.39","193.15M","0.13%"
"05/16/2025","135.40","136.22","136.35","133.46","226.54M","0.42%"
"05/15/2025","134.83","134.29","136.30","132.66","226.63M","-0.38%"
"05/14/2025","135.34","133.20","135.43","131.68","281.18M","4.16%"
"05/13/2025","129.93","124.98","131.22","124.47","330.43M","5.63%"
"05/12/2025","123.00","121.97","123.00","120.28","225.02M","5.44%"
"05/09/2025","116.65","117.35","118.23","115.21","132.97M","-0.61%"
"05/08/2025","117.37","118.25","118.68","115.85","198.43M","0.26%"
"05/07/2025","117.06","113.04","117.68","112.28","207.83M","3.10%"
"05/06/2025","113.54","111.48","114.74","110.82","158.53M","-0.25%"
"05/05/2025","113.82","112.90","114.67","112.66","133.16M","-0.59%"
"05/02/2025","114.50","114.18","115.40","113.37","190.19M","2.59%"
"05/01/2025","111.61","113.08","114.94","111.30","236.12M","2.47%"
"04/30/2025","108.92","104.47","108.92","104.08","235.04M","-0.09%"
"04/29/2025","109.02","107.67","110.20","107.44","170.44M","0.27%"
"04/28/2025","108.73","109.69","110.37","106.02","207.71M","-2.05%"
"04/25/2025","111.01","106.85","111.92","105.73","251.06M","4.30%"
"04/24/2025","106.43","103.47","106.54","103.11","220.82M","3.62%"
"04/23/2025","102.71","104.52","104.80","102.02","247.53M","3.86%"
"04/22/2025","98.89","98.78","99.81","97.28","241.00M","2.04%"
"04/21/2025","96.91","98.77","99.44","95.04","288.50M","-4.51%"
"04/17/2025","101.49","104.45","104.47","100.05","292.52M","-2.87%"
"04/16/2025","104.49","104.55","106.79","100.45","397.02M","-6.87%"
"04/15/2025","112.20","110.97","113.61","110.50","228.97M","1.35%"
"04/14/2025","110.71","114.11","114.29","109.07","264.71M","-0.20%"
"04/11/2025","110.93","108.50","111.55","107.48","313.42M","3.12%"
"04/10/2025","107.57","109.37","110.86","99.15","437.81M","-5.91%"
"04/09/2025","114.33","98.89","115.10","97.53","612.92M","18.72%"
"04/08/2025","96.30","103.81","105.85","94.46","476.24M","-1.37%"
"04/07/2025","97.64","87.46","101.75","86.62","611.04M","3.53%"
"04/04/2025","94.31","98.91","100.13","92.11","532.27M","-7.36%"
"04/03/2025","101.80","103.51","105.63","101.60","338.77M","-7.81%"
"04/02/2025","110.42","107.29","111.98","106.79","220.60M","0.25%"
"04/01/2025","110.15","108.51","110.20","106.47","222.61M","1.63%"
"03/31/2025","108.38","105.13","110.96","103.65","299.21M","-1.18%"
"03/28/2025","109.67","111.49","112.87","109.07","229.87M","-1.58%"
"03/27/2025","111.43","111.35","114.45","110.66","236.90M","-2.05%"
"03/26/2025","113.76","118.73","118.84","112.71","296.43M","-5.74%"
"03/25/2025","120.69","120.54","121.29","118.92","167.45M","-0.59%"
"03/24/2025","121.41","119.88","122.22","119.34","228.45M","3.15%"
"03/21/2025","117.70","116.94","117.99","115.42","266.50M","-0.70%"
"03/20/2025","118.53","116.55","120.20","116.47","248.83M","0.86%"
"03/19/2025","117.52","117.27","120.44","115.68","273.43M","1.81%"
"03/18/2025","115.43","118.00","119.02","114.54","299.69M","-3.43%"
"03/17/2025","119.53","122.74","122.89","118.03","255.50M","-1.76%"
"03/14/2025","121.67","118.61","121.88","118.15","277.59M","5.27%"
"03/13/2025","115.58","117.03","117.76","113.79","299.03M","-0.14%"
"03/12/2025","115.74","114.12","116.76","112.88","323.86M","6.42%"
"03/11/2025","108.76","106.99","112.24","104.77","354.87M","1.66%"
"03/10/2025","106.98","109.90","111.85","105.46","366.49M","-5.07%"
"03/07/2025","112.69","111.25","113.48","107.56","341.76M","1.92%"
"03/06/2025","110.57","113.53","115.35","110.22","321.18M","-5.74%"
"03/05/2025","117.30","117.58","118.28","114.51","284.34M","1.13%"
"03/04/2025","115.99","110.64","119.31","110.11","398.16M","1.69%"
"03/03/2025","114.06","123.51","123.70","112.28","411.38M","-8.69%"
