"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2025","4.7025","4.6900","4.7340","4.6805","0.22K","0.02%"
"05/29/2025","4.7015","4.7045","4.7610","4.6970","0.31K","0.58%"
"05/28/2025","4.6745","4.7450","4.7700","4.6650","49.40K","-1.38%"
"05/27/2025","4.7400","4.8705","4.8870","4.7295","60.31K","-1.93%"
"05/26/2025","4.8333","4.8515","4.8865","4.8172","16.53K","-0.38%"
"05/25/2025","4.8518","4.8738","4.8793","4.8468","50.40K","0.32%"
"05/23/2025","4.8365","4.6785","4.8900","4.6290","51.34K","3.36%"
"05/22/2025","4.6795","4.6625","4.7435","4.5690","47.87K","0.16%"
"05/21/2025","4.6720","4.6765","4.7120","4.6485","33.01K","0.39%"
"05/20/2025","4.6540","4.6635","4.6815","4.5855","32.92K","-0.35%"
"05/19/2025","4.6705","4.6085","4.6785","4.5610","32.64K","1.68%"
"05/16/2025","4.5935","4.6820","4.6980","4.5690","34.22K","-1.92%"
"05/15/2025","4.6835","4.6435","4.7075","4.5715","32.19K","0.71%"
"05/14/2025","4.6505","4.7110","4.7370","4.6280","30.44K","-1.54%"
"05/13/2025","4.7230","4.6305","4.7315","4.6050","33.77K","2.21%"
"05/12/2025","4.6210","4.6900","4.7295","4.5895","43.12K","-0.69%"
"05/09/2025","4.6530","4.6035","4.7400","4.4775","48.54K","1.06%"
"05/08/2025","4.6040","4.6185","4.6775","4.5425","43.09K","-1.19%"
"05/07/2025","4.6595","4.7595","4.8070","4.6125","41.11K","-2.48%"
"05/06/2025","4.7780","4.7050","4.7930","4.6720","36.10K","1.68%"
"05/05/2025","4.6990","4.7040","4.7655","4.6630","25.20K","0.56%"
"05/02/2025","4.6730","4.6390","4.7435","4.6180","40.56K","0.97%"
"05/01/2025","4.6280","4.6155","4.6830","4.5975","32.18K","0.41%"
"04/30/2025","4.6090","4.8625","4.8655","4.5240","63.22K","-5.41%"
"04/29/2025","4.8725","4.8970","4.9635","4.8435","36.95K","0.16%"
"04/28/2025","4.8645","4.8670","4.8935","4.8000","1.32K","-0.62%"
"04/25/2025","4.8950","4.9370","4.9465","4.7905","39.21K","-0.32%"
"04/24/2025","4.9105","4.8840","4.9420","4.8605","27.97K","0.32%"
"04/23/2025","4.8950","4.9085","4.9825","4.8710","32.08K","-0.67%"
"04/22/2025","4.9280","4.7735","4.9420","4.7700","32.76K","3.10%"
"04/21/2025","4.7800","4.7565","4.8565","4.7375","18.09K","0.87%"
"04/17/2025","4.7390","4.6770","4.7510","4.5645","50.46K","1.14%"
"04/16/2025","4.6855","4.6130","4.6985","4.5435","45.70K","1.29%"
"04/15/2025","4.6260","4.6530","4.6645","4.5350","47.32K","0.01%"
"04/14/2025","4.6255","4.5900","4.6870","4.5205","47.03K","2.27%"
"04/11/2025","4.5230","4.3785","4.5650","4.3270","64.98K","4.30%"
"04/10/2025","4.3365","4.4665","4.4670","4.3100","64.71K","3.43%"
"04/09/2025","4.1925","4.1075","4.4715","4.0380","80.89K","1.17%"
"04/08/2025","4.1440","4.3135","4.3650","4.0925","88.56K","-1.00%"
"04/07/2025","4.1860","4.3500","4.4650","4.0300","142.01K","-4.91%"
"04/04/2025","4.4020","4.8140","4.8245","4.3720","109.84K","-8.83%"
"04/03/2025","4.8285","5.0000","5.0000","4.8080","69.87K","-4.21%"
"04/02/2025","5.0405","5.0295","5.1450","4.9850","46.22K","0.11%"
"04/01/2025","5.0350","5.0550","5.1155","5.0045","49.68K","0.02%"
"03/31/2025","5.0340","5.1300","5.1460","4.9850","53.78K","-1.87%"
"03/28/2025","5.1300","5.1195","5.1675","5.0620","51.75K","0.62%"
"03/27/2025","5.0985","5.2170","5.2420","5.0830","1.77K","-2.30%"
"03/26/2025","5.2185","5.2075","5.2985","5.2040","1.05K","0.65%"
"03/25/2025","5.1850","5.0560","5.2000","5.0560","1.07K","1.82%"
"03/24/2025","5.0925","5.0965","5.1845","5.0750","49.58K","-0.41%"
"03/21/2025","5.1135","5.1105","5.1375","5.0270","42.31K","0.03%"
"03/20/2025","5.1120","5.1240","5.1485","5.0560","47.43K","0.24%"
"03/19/2025","5.1000","5.0045","5.1245","4.9965","42.35K","1.66%"
"03/18/2025","5.0165","4.9790","5.0250","4.9560","44.37K","1.16%"
"03/17/2025","4.9590","4.8845","4.9840","4.8750","34.52K","1.29%"
"03/14/2025","4.8960","4.9280","4.9575","4.8710","36.18K","-0.60%"
"03/13/2025","4.9255","4.8410","4.9345","4.7965","47.66K","1.57%"
"03/12/2025","4.8495","4.7935","4.9035","4.7750","54.55K","1.75%"
"03/11/2025","4.7660","4.6480","4.8045","4.6260","50.26K","2.13%"
"03/10/2025","4.6665","4.7140","4.7340","4.6300","35.66K","-0.92%"
"03/07/2025","4.7100","4.7755","4.7955","4.6805","54.59K","-2.03%"
"03/06/2025","4.8075","4.8040","4.8510","4.7350","54.37K","0.28%"
"03/05/2025","4.7940","4.5800","4.8250","4.5465","86.76K","5.21%"
"03/04/2025","4.5565","4.5880","4.6325","4.5185","48.37K","-1.10%"
"03/03/2025","4.6070","4.5765","4.6535","4.5365","49.07K","1.30%"
"02/28/2025","4.5480","4.5955","4.5970","4.5115","43.88K","-1.53%"
"02/27/2025","4.6185","4.5835","4.6685","4.5490","52.00K","1.25%"
"02/26/2025","4.5615","4.6535","4.7125","4.5500","1.62K","1.29%"
"02/25/2025","4.5035","4.5280","4.6790","4.4970","1.31K","-1.31%"
"02/24/2025","4.5635","4.5905","4.6270","4.5495","37.12K","-1.13%"
"02/21/2025","4.6155","4.6655","4.6690","4.5880","37.13K","-1.08%"
"02/20/2025","4.6660","4.6205","4.6900","4.5985","29.29K","1.13%"
"02/19/2025","4.6140","4.6425","4.6625","4.6020","24.43K","-0.61%"
"02/18/2025","4.6425","4.6915","4.7180","4.5945","35.14K","-0.47%"
"02/14/2025","4.6645","4.7830","4.8365","4.6365","116.10K","-2.38%"
"02/13/2025","4.7780","4.6950","4.7905","4.6835","78.51K","1.56%"
"02/12/2025","4.7045","4.5975","4.7125","4.5755","77.94K","2.25%"
"02/11/2025","4.6010","4.6935","4.7000","4.5410","103.14K","-2.25%"
"02/10/2025","4.7070","4.5980","4.7150","4.5705","107.86K","2.57%"
"02/07/2025","4.5890","4.4580","4.6080","4.4570","92.76K","2.87%"
"02/06/2025","4.4610","4.4370","4.5095","4.4110","64.52K","0.38%"
"02/05/2025","4.4440","4.3590","4.4565","4.3430","56.00K","2.08%"
"02/04/2025","4.3535","4.3320","4.3720","4.3065","44.13K","1.11%"
"02/03/2025","4.3055","4.2585","4.3375","4.1835","69.19K","0.62%"
"01/31/2025","4.2790","4.3075","4.3190","4.2570","48.63K","-0.66%"
"01/30/2025","4.3075","4.2870","4.3455","4.2610","39.23K","1.10%"
"01/29/2025","4.2605","4.2365","4.2760","4.2365","1.15K","0.85%"
"01/28/2025","4.2245","4.2470","4.2490","4.2220","0.70K","0.39%"
"01/27/2025","4.2080","4.2500","4.2550","4.2000","0.83K","-2.06%"
"01/24/2025","4.2965","4.3050","4.3600","4.2920","0.49K","-0.21%"
"01/23/2025","4.3055","4.2390","4.3065","4.2360","0.46K","0.10%"
"01/22/2025","4.3010","4.3395","4.3410","4.2815","48.40K","-0.92%"
"01/21/2025","4.3410","4.3565","4.3815","4.2700","107.04K","-0.63%"
"01/17/2025","4.3685","4.4350","4.4700","4.3445","74.08K","-1.63%"
"01/16/2025","4.4410","4.3975","4.4470","4.3850","63.44K","1.18%"
"01/15/2025","4.3890","4.3490","4.4045","4.3175","55.35K","1.07%"
"01/14/2025","4.3425","4.3265","4.3660","4.3105","51.19K","0.39%"
"01/13/2025","4.3255","4.2840","4.3435","4.2735","48.74K","0.50%"
"01/10/2025","4.3040","4.3135","4.3600","4.2820","66.26K","-0.13%"
"01/09/2025","4.3095","4.2690","4.3495","4.2570","66.13K","1.20%"
"01/08/2025","4.2585","4.1765","4.2730","4.1670","71.30K","1.50%"
"01/07/2025","4.1955","4.1520","4.2130","4.1405","58.96K","0.82%"
"01/06/2025","4.1615","4.0765","4.2005","4.0585","92.82K","2.16%"
"01/03/2025","4.0735","4.0350","4.0825","4.0090","44.29K","1.18%"
"01/02/2025","4.0260","4.0310","4.0580","4.0050","50.06K","-0.01%"
